Brand,not shoes,shoes
Prada,IT,IT
ALEXANDER McQUEEN,IT,
ALEXANDER McQUEEN M,IT,
BALENCIAGA,FR,
BALENCIAGA M,FR,
BALMAIN,FR,FR
BALMAIN M,,IT
Bottega veneta,IT,
Bottega veneta M,,
BURBERRY,UK,
BURBERRY M  ,,
CHLOE,FR,
CHURCHS,,IT
CHURCHS M,,UK
Dolce&Gabbana,IT,
Dolce&Gabbana M,IT,DG
DSQUARED,IT,IT
DSQUARED M,IT,IT
ETRO,IT,
ETRO M,IT,
FENDI,IT,
FENDI M,IT,UK
GCDS M,IT,
GIORGIO ARMANI M,IT,
GIVENCHY,FR,FR
GIVENCHY M,IT,IT
GOLDEN GOOSE DELUXE BRAND,,
GOLDEN GOOSE DELUXE BRAND M,,
GUCCI,IT,
GUCCI M,IT,GU
HERNO,IT,
HERNO M,IT,
ISABEL MARANT,FR,FR
ISABEL MARANT エトワール,FR,FR
JIL SANDER,,
JIL SANDER M,,
JIMMY CHOO,,
Kenzo,,
Kenzo M,,
LOEWE,,
LOEWE M,,
MAISON KITSUNÉ M,,
MAISON MARGIELA,IT,IT
MAISON MARGIELA M,IT,IT
MARC JACOBS,,US
Marcelo Burlon,IT,
Marcelo Burlon M,IT,
Marni,IT,
MAX MARA,IT,IT
Michael Michael Kors,US,
MM6 MAISON MARGIELA,,
MOSCHINO,IT,
Msgm,IT,
Msgm M,IT,
N°21,IT,
NEIL BARRETT M,IT,
OFF WHITE,IT,IT
OFF WHITE M,IT,IT
Prada M,IT,UK
Red valentino,IT,
RICK OWENS M,IT,
SAINT LAURENT,,FR
SAINT LAURENT M,IT,IT
Salvatore Ferragamo,IT,FE
Salvatore Ferragamo M,IT,US
SALVATORE FERRAGAMO,IT,FE
SALVATORE FERRAGAMO M,IT,US
SEE BY CHLOÉ,FR,
Self-portrait,UK,
Stella mccartney,IT,
Stone Island M,IT,
Stuart Weitzman,,
Thom browne,,
Thom browne M,TH,
VALENTINO,IT,IT
VALENTINO garavani,IT,IT
VALENTINO garavani M,IT,IT
VALENTINO M,IT,IT
Versace,IT,IT
Versace M,IT,IT
Y PROJECT,,
Y PROJECTM,,
Y-3,,UK
Y-3 M,,UK
DOLCE & GABBANA,IT,IT
DOLCE & GABBANA M,IT,IT
VALENTINO GARAVANI,IT,IT
VALENTINO GARAVANI M,IT,IT
PRADA,IT,IT
PRADA M,IT,UK
